"ID","rodada","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"8125","10","11/06/2023","18:30","Goias","Fluminense","4-5-1","4-2-2-2","E. Rodrigues de Ávila","F. Diniz Silva","-","Estádio Hailé Pinheiro - Serrinha","2","2","GO","RJ"
"8126","11","21/06/2023","19:00","Cruzeiro","Fortaleza","4-3-3","4-4-2","P. Marques da Costa Filipe","J. Vojvoda","Fortaleza"," Mineirão","0","1","MG","CE"
"8127","11","21/06/2023","19:01","Sao Paulo","Athletico-PR","4-2-3-1","4-2-3-1","D. Silvestre Júnior","W. Carvalho","Sao Paulo"," Morumbi","2","1","SP","PR"
"8128","11","21/06/2023","20:01","Santos","Corinthians","4-2-3-1","4-1-4-1","O. Hellmann","V. Luxemburgo da Silva","Corinthians","Estádio Urbano Caldeira","0","2","SP","SP"
"8129","11","21/06/2023","21:31","Fluminense","Atletico-MG","4-2-3-1","4-3-3","F. Diniz Silva","L. Scolari","-","Estádio Municipal General Raulino de Oliveira","1","1","RJ","MG"
"8130","11","21/06/2023","21:31","Bahia","Palmeiras","4-2-3-1","4-2-3-1","R. Alves Paiva","A. Moreira Ferreira","Bahia","Itaipava Arena Fonte Nova","1","0","BA","SP"
"8131","11","22/06/2023","19:01","Gremio","America-MG","4-2-3-1","4-1-4-1","Renato Gaúcho","V. Carmo Mancini","Gremio","Arena do Grêmio","3","1","RS","MG"
"8133","11","22/06/2023","20:00","Cuiaba","Botafogo-RJ","4-1-4-1","4-3-3","A. Cardoso de Oliveira","L. Ribeiro de Castro","Botafogo-RJ","Arena Pantanal","0","1","MT","RJ"
"8134","11","22/06/2023","20:00","Vasco","Goias","4-3-1-2","4-5-1","M. Nogueira Barbieri","L. Campos Borges","Goias","Estádio São Januário","0","1","RJ","GO"
"8132","11","22/06/2023","20:02","Coritiba","Internacional","3-1-4-2","4-2-3-1","A. Zago","L. Venker de Menezes","Internacional"," Couto Pereira","0","1","PR","RS"
"8135","11","22/06/2023","21:29","Bragantino","Flamengo","3-2-4-1","4-2-3-1","P. Faria Caixinha","J. Sampaoli Moya","Bragantino","Nabizão","4","0","SP","RJ"
"8136","12","24/06/2023","15:59","Athletico-PR","Corinthians","3-4-3","4-1-4-1","W. Carvalho","V. Luxemburgo da Silva","Athletico-PR","Ligga Arena","1","0","PR","SP"
